sst_ts,direct_ts,diff_seconds,device,country
1767668696000000,1767668695936022,-0.063978,desktop,Australia
1767668731000000,1767668731155673,0.155673,desktop,Australia
1767668738000000,1767668737919621,-0.080379,desktop,Australia
1767668769000000,1767668768326711,-0.673289,desktop,Australia
1767668839000000,1767668838702680,-0.29732,desktop,Australia
1767668851000000,1767668850911357,-0.088643,desktop,Australia
1767668874000000,1767668873989357,-0.010643,desktop,Australia
1767668890000000,1767668889855790,-0.14421,mobile,Australia
1767668910000000,1767668909973128,-0.026872,desktop,Australia
1767668914000000,1767668913949776,-0.050224,desktop,Vietnam
1767668979000000,1767668978892961,-0.107039,desktop,Australia
1767668995000000,1767668995261326,0.261326,desktop,Australia
1767669027000000,1767669027454525,0.454525,desktop,Australia
1767669038000000,1767669038257000,0.257,desktop,Australia
1767669076000000,1767669075437384,-0.562616,mobile,Ireland
1767669086000000,1767669086073631,0.073631,desktop,Thailand
1767669106000000,1767669073447170,-32.55283,mobile,United States
1767669107000000,1767669106965797,-0.034203,mobile,Australia
1767669111000000,1767669111259545,0.259545,mobile,Australia
1767669135000000,1767669136062980,1.06298,desktop,China
1767669138000000,1767669138130507,0.130507,desktop,Fiji
1767669163000000,1767669162985846,-0.014154,desktop,Australia
1767669165000000,1767669164394672,-0.605328,desktop,Australia
1767669176000000,1767669175250480,-0.74952,desktop,Australia
1767669195000000,1767669195384599,0.384599,desktop,Australia
1767669200000000,1767669199387212,-0.612788,desktop,United States
1767669206000000,1767669206154339,0.154339,mobile,United States
1767669208000000,1767669207373190,-0.62681,desktop,New Zealand
1767669226000000,1767669225509219,-0.490781,mobile,Ireland
1767669262000000,1767669262105423,0.105423,mobile,Ireland
1767669283000000,1767669282976977,-0.023023,mobile,Australia
1767669285000000,1767669284888038,-0.111962,mobile,Australia
1767669290000000,1767669290055884,0.055884,desktop,Australia
1767669353000000,1767669353857720,0.85772,mobile,Australia
1767669367000000,1767669367553380,0.55338,desktop,Australia
1767669393000000,1767669392894108,-0.105892,mobile,United States
1767669397000000,1767669396234518,-0.765482,desktop,Australia
1767669451000000,1767669455601325,4.601325,desktop,Australia
1767669462000000,1767669461527860,-0.47214,desktop,Thailand
1767669464000000,1767669463906872,-0.093128,desktop,Australia
1767669490000000,1767669489642607,-0.357393,desktop,Australia
1767669497000000,1767669500801426,3.801426,desktop,Australia
